"Clinic Name",Address,"Address 2",City,State,Zip,Phone
"North Jersey Fertility Associates, LLC","57 Willowbrook Boulevard",,Wayne,NJ,7470,973-754-4055
"Reproductive Science Center of New Jersey","234 Industrial Way West","Suite A104",Eatontown,NJ,7724,732-918-2500
"Diamond Institute for Infertility","89 Milburn Avenue",,Millburn,NJ,7041,973-761-5600
"Center for Advanced Reproductive Medicine & Fertility","4 Ethel Road","Suite 405 A",Edison,NJ,8817,732-339-9300
"Morgan Fertility at Shore Institute for Reproductive Medicine - Shore IVF","475 Highway 70 West","Suite 201",Lakewood,NJ,8701,732-363-4777
"Reproductive Medicine Associates of New Jersey","111 Madison Avenue","Suite 100",Morristown,NJ,7960,973-971-4600
"Brigham & Women's ART Center","75 Francis Street","3rd Floor, ASB1-3",Boston,MA,2115,617-732-7908
"IVF New England-  Lexington","One Forbes Road",,Lexington,MA,2421,
"Boston IVF","130 Second Avenue",,Waltham,MA,2451,888-300-2483
"IVF New Jersey","81 Veronica Avenue",,Somerset,NJ,8873,732-220-9060
"Vincent IVF Unit","Massachusetts General Hospital","55 Fruit Street, VBK 2",Boston,MA,2114,617-726-8868
"The Marino Foundation for Integrative Medicine","2500 Massachusetts Avenue",,Cambridge,MA,2140,617-661-6225
"Sher Institute for Reproductive Medicine-New Jersey","Cardone Reproductive Medicine & ","One Robertson Drive",Bedminster,NJ,7921,908-781-0666
"Princeton IVF/Delaware Valley Ob/Gyn and Infertility Group","2 Princess Road",,Lawrenceville,NJ,8648,609-896-0777
"Albany IVF, Fertility & Gynecology","399 Albany Shaker Road",,Loudonville,NY,12211,518-434-9759
"South Jersey Fertility Center","400 Lippincott Drive","Suite 130",Marlton,NJ,8053,"856-596-2233 "
"Cooper Institute for Reproductive Hormonal Disorders PC","8002E Greentree Commons",,Marlton,NJ,8053,856-751-5575
"Abington Reproductive Medicine-Abington","1245 Highland Avenue","Suite 404",Abington,PA,19001,215-887-2010
"Center for Reproductive Medicine & Fertility","200 Route 73 North","Building A",Voorhees,NJ,8043,856-767-0009
"Family Fertility Center","95 Highland Ave, Suite100",,Bethlehem,PA,18017,610-868-8700
"Fertility & Gynecology Associates","800 Spruce Street",,Philadelphia,PA,19107,215-829-3921
"Penn Fertility Care","3701 Market Street","8th Floor",Philadelphia,PA,19104,
"Infertility Solutions, P.C.","1275 South Cedar Crest Blvd., Su",,Allentown,PA,18103,610-776-1217
"Reproductive Endocrinology & Infertility Specialists","401 North 17th Street, Suite 303",,Allentown,PA,18104,610-969-4522
"Reproductive Medicine Associates of Pennsylvania","1401 N. Cedar Crest Boulevard","Suite 200",Allentown,PA,18104,610-820-6888
"Main Line Fertility & Reproductive Medicine","825 Old Lancaster Road","Suite 170","Bryn Mawr",PA,19010,610-527-0800
"Reproductive Science Institute","945 Chesterbrook Boulevard",,Wayne,PA,19087,610-964-9663
"HAN Fertility Center","1 Medical Center Blvd","ACP Suite 531",Upland,PA,19013,610-447-2727
"Dartmouth-Hitchcock Medical Center","New Hampshire Fertiility Center","One Medical Center Drive",Lebanon,NH,3756,603-653-9240
"Women's Clinic, Ltd.","301 South Seventh Avenue, Suite ",,"West Reading",PA,19611,610-374-2214
"Delaware Institute for Reproductive Medicine P.A.","4745 Ogletown-Stanton Road","Suite 111",Newark,DE,19713,302-738-4600
"Reproductive Associates of Delaware","4735 Ogletown-Stanton Road","Suite 3217, MAP II",Newark,DE,19713,302-623-4242
"Boston IVF-The Maine Center Fertility Clinic","778 Main Street, Suite Two",,"South Portland",ME,4106,
"Geisinger Medical Center Fertility Center","Department of Ob/Gyn","100 N Academy Ave",Danville,PA,17822,570-271-5620
"The Milton S. Hershey Medical Center","500 University Drive",,Hershey,PA,17033,717-531-6286
"CNY Fertility Center-Syracuse","195 Intrepid Lane",,Syracuse,NY,13205,315-469-8700
"Fertility Center of Maryland","110 West Road, Suite102",,Towson,MD,21204,410-296-6400
"Shady Grove Fertility Center ","901 Dulaney Valley Road","Ste 616",Towson,MD,21204,410-512-8300
"Johns Hopkins Medical Institute","10753 Falls Road, Suite 335",,Lutherville,MD,21093,410-583-2749
"Vermont Center for Reproductive Medicine","Women's Health Care Service-FAHC","1 South Prospect Street",Burlington,VT,5401,802-847-0986
"The Center for Assisted Reproductive Technology ","201 E. University Parkway",,Baltimore,MD,21218,410-554-2683
"University of Maryland","405 W. Redwood St.","3rd Floor",Baltimore,MD,21201,410-328-2304
"ART Institute of Washington, Inc.","8901 Wisconsin Avenue","Bldg. 10, 2nd Floor",Bethesda,MD,20889,301-400-2151
"The Center for Reproductive Medicine","9711 Medical Center Drive","Suite 214",Rockville,MD,20850,301-424-1904
"Shady Grove Fertility Center","15001 Shady Grove Road","Suite 400",Rockville,MD,20850,"1-888-761-1967, 301-340-1"
"James A. Simon, M.D., PC","1850 M Street Northwest, Suite 4",,Washington,DC,20036,202-293-1000
"George Washington University","2150 Pennsylvania Ave N W",,Washington,DC,20037,202-741-2520
"Columbia Fertility Associates","2440 M Street NW, Suite 401",,Washington,DC,20037,202-293-6567
"Dominion Fertility","46 S Glebe Road, Ste 301",,Arlington,VA,22204,"(703) 920-3890"
"Virginia Center for Reproductive Medicine","11150 Sunset Hills Road, Suite 1",,Reston,VA,20190,703-437-7722
"Metro Fertility Care","6355 Walker Lane, Suite 500",,Alexandria,VA,22310,703-313-6997
"Washington Fertility Center","4316 L Evergreen Lane",,Annandale,VA,22003,703-658-3100
"Partners for Fertility and IVF (Formerly The Muasher Center for Fertility and IVF)","8501 Arlington Boulevard",,Fairfax,VA,22031,703-876-6317
"Genetics & IVF Institute","3015 Williams Drive",,Fairfax,VA,22031,"800-552-4363, 7036987355 "
"Strong Fertility and Reproductive Science Center","500 Red Creek Drive",,Rochester,NY,14623,585-275-7891
"Institute for Reproductive Health and Infertility","Rochester Fertility Care","1561 Long Pond Road, Suite 410",Rochester,NY,14626,585-453-7760
"New Hope Center for Reproductive Medicine","1181 First Colonial Road, Suite ",,"Virginia Beach",VA,23454,757-496-5370
"Jones Institute for Reproductive Medicine","Department of Ob/Gyn","601 Colley Ave",Norfolk,VA,23507,757-446-7100
"Richmond Center for Fertility","7603 Forest Ave, Ste 301",,Richmond,VA,23229,804-285-9700
"LifeSource Fertility Center","7603 Forest Avenue, Suite 204",,Richmond,VA,23229,804-285-9700
"Infertility & IVF Medical Associates of Western NY","4510 Main Street",,Buffalo,NY,14226,716-839-3057
"Fertility Institute of Virginia","10710 Midlothian Turnpike, Suite",,Richmond,VA,23235,804-379-9000
"Reproductive Medicine and Surgery Center of Virginia","595 Peter Jefferson Parkway, Sui",,Charlottesville,VA,22911,434-982-8520
"Reproductive Health Specialists, Inc.","419 Rodi Road",,Pittsburgh,PA,15235,412-731-8000
"Jones Institute at West Penn Allegheny Health Systems","4815 Liberty Avenue, Suite 330",,Pittsburgh,PA,15224,412-578-5588
"Center for Fertility and Reproductive Endocrinology","300 Halket Street",5150,Pittsburgh,PA,15213,412-641-1600
"West Virginia University","Center for Reproductive Medicine","1322 Pineview Drive, Suite 2","Morgantown ",WV,26505,304-598-3100
"The Reproductive Center","900 Sahara Trail","PO Box 3707",Youngstown,OH,44513,330-965-8395
"ECU Women's Physicians","2160 Herbert Court",,Greenville,NC,27834,252-744-3849
"Northeastern Ohio Fertility Center","468 E. Market Street",,Akron,OH,44304,
"Reproductive Gynecology, Inc. - Akron","95 Arch Street","Suite 250",Akron,OH,44304,"(330) 375 7722, 866-537-2"
"Cleveland Clinic - Beachwood","26900 Cedar Road","Suite 220 South",Beachwood,OH,44122,"216-839-3150 "
"University Hospitals Fertility Center-Beachwood","1000 Auburn Drive","Suite 300",Beachwood,OH,44122,216-285-5028
"MetroHealth Medical Center","Dept of Ob/Gyn","2500 Metro Health Drive",Cleveland,OH,44109,216-778-5990
"Carolina Conceptions","2601 Lake Drive, Suite 301",,Raleigh,NC,27607,919-782-5911
"Duke Fertility Center","5704 Fayetteville Road",,Durham,NC,27713,"(919) 572-4673"
"North Carolina Center for Reproductive Medicine","400 Asheville Avenue","Suite 200",Cary,NC,27518,800-933-7202
"University of North Carolina School of Medicine","4001 Old Clinic Building","CB 7570 Manning Drive","Chapel Hill",NC,27599,919-966-1150
"West Virginia University Fertility Center","830 Pennsylvania Avenue, Suite 2",,Charleston,WV,25304,304-388-1518
"Premier Fertility Center","2783 NC Highway 68, Suite 104",,"High Point ",NC,27265,336-841-707
"Wake Forest Baptist Health Center for Reproductive Medicine","131 Miller Street","2nd Floor",Winston-Salem,NC,27157,336-716-6476
"Ohio Reproductive Medicine","4830 Knightsbridge Boulevard Sui",,Columbus,OH,43214,614-451-2280
"Brenda L. Moskovitz, M.D., P C","415 East Maple Road, Suite 101",,Troy,MI,48083,248-524-1001
"IVF Michigan","3950 South Rochester Road","Suite 2300","Rochester Hills",MI,48307,
"Henry Ford Medical Center","Division of Reproductive Medicin","1500 W Big Beaver, Suite105",Troy,MI,48084,248-637-4050
"Reproductive Medicine Associates of Michigan","130 Town Center Drive","Suite 106",Troy,MI,48084,248-619-3113
"Michigan Comprehensive Fertility Center","18181 Oakwood Boulevard, Suite 1",,Dearborn,MI,48124,313-299-6650
"Michigan Reproductive Medicine (formerly Center for Reproductive Medicine and Surgery)","41000 Woodward Ave, Ste 100 East",,"Bloomfield Hills",MI,48304,248-593-6990
"Wayne State University Physicians Group","26400 West Twelve Mile Road","Suite 140",Southfield,MI,48034,"(313) 993-4645"
"Fertility Center of NW Ohio","2142 N Cove Boulevard",,Toledo,OH,43606,419-479-8830
"University of Michigan Medical Center","Briarwood Center for R.E.","475 Market Place,Building 1, #B","Ann Arbor",MI,48108,734-936-7401
"Advanced Reproductive Concepts","9800 W Kincey Avenue, Suite 160",,Huntersville,NC,28078,704-947-9000
"Reproductive Endocrinology Associates of Charlotte","1524 East Morehead Street",,Charlotte,NC,28207,704-343-3400
"Center for Reproductive Medicine at CMC Women's Institute","1025 Morehead Medical Dr. Suite ",,Charlotte,NC,28204,704-355-1941
"Wright-Patterson Air Force Base","Women's Health Center","4881 Sugar Maple Drive","Wright-Patterson AFB",OH,45433,937-522-2622
"East Tennessee State University","325 North State of Franklin Road",,"Johnson City",TN,37604,423-439-7272
"Kettering Reproductive Medicine","3533 Southern Boulevard","Suite 4100",Kettering,OH,45429,937-395-8444
"Michigan State University","Women's HealthCare","1200 E. Michigan Ave., Ste. 730",Lansing,MI,48912,517-364-5940
"Infertility & Gynecology Ctr. of  Lansing","1200 E Michigan Ave, Suite 305",,Lansing,MI,48912,517-484-4900
"Bethesda Fertility Center","10506 Montgomery Road","Suite 303 and 305",Cincinnati,OH,45242,"800-634-1222, 513-865-167"
"Institute for Reproductive Health","3805 Edwards Road, Suite 450",,Cincinnati,OH,45209,513-924-5550
"Center for Reproductive Health","2123 Auburn Avenue, Suite A-44",,Cincinnati,OH,45219,513-585-2355
"Associated Fertility & Gynecology","7910 W Jefferson, Suite 301",,"Fort Wayne",IN,46804,260-432-6250
"Advanced Fertility & Reproductive Endocrinology Institute, LLC","2728 Sunset Boulevard","Suite 305","West Columbia",SC,29169,803-939-1515
"Piedmont Reproductive Endocrinology Group ","17 Caledon Court","Suite C",Greenville,SC,29615,864-232-7734
"Reproductive Endocrinology & Infertility","890 West Faris Road, Suite 470",,Greenville,SC,29605,864-455-1600
"Southeastern Fertility","9221 University BLVD","Suite D2C","North Charleston",SC,29406,
"The Fertility Center","3230 Eagle Park Drive NE, Suite ",,"Grand Rapids",MI,49525,616-988-2229
"Grand Rapids Fertility & IVF, P.C.","555 Midtowne NE, Suite 300",,"Grand Rapids",MI,49503,"616-774-2030, 8006955941 "
"East TN Fertility, IVF & Andrology Center","200 Blount Street, Suite301",,Knoxville,TN,37920,865-544-6757
"Women's Specialty Health Centers, P.C.","9660 East 146th Street","Suite 300",Noblesville,IN,46060,317-774-1200
"Family Beginnings, PC","7440 North Shadeland Avenue, Sui",,Indianapolis,IN,46250,317-595-3665
"Jarrett Fertility","9002 North Meridian Street","Suite 214",Indianapolis,IN,46260,317-575-6565
"Midwest Fertility Specialists","12188-A North Meridian","Suite 250",Carmel,IN,46032,317-571-1637
"American Health Network","10610 North Pennsylvania Street","Suite 100",Indianapolis,IN,46280,"317-580-4493, 1-877-222-6"
"Advanced Fertility Group","201 North Pennsylvania Parkway, ",,Indianapolis,IN,46280,317-817-1300
"Reproductive Care of Indiana","201 Pennsylvania Parkway, Suite ",,Indianapolis,IN,46280,317-817-1800
"Indiana University IVF Program","Department of Ob/Gyn","550 N. University Blvd., Room 24",Indianapolis,IN,46202,317-274-4875
"Reproductive Endocrinology Associates","2020 West 86th Street, Suite 310",,Indianapolis,IN,46260,317-872-1515
"University Ob/Gyn Associates","The Fertility Center","315 East Broadway, 1st Floor",Louisville,KY,40202,502-271-5999
"Servy Massey Fertility Institute","812 Chafee Avenue",,Augusta,GA,30904,706-724-0228
"MCG Reproductive Medicine & Infertility Associates","810 Chafee Street",,Augusta,GA,30904,706-722-9647
"Georgia Center for Reproductive Medicine","5354 Reynolds Street",,Savannah,GA,31405,912-352-8588
"Center for Reproductive Medicine & Fertility","The University of Chicago, Depar","5841 South Maryland Avenue, Room",Chicago,IL,60637,773-702-6642
"The Rinehart-Coulam Center","233 East Erie Street, Suite 500",,Chicago,IL,60611,847-869-7777
"Northwestern Medicine","Galter Pavilion ","675 N. Saint Clair, Suite 14-200",Chicago,IL,60611,
"Fertility Centers of Illinois - Chicago/River North IVF","900 North Kingsbury","Suite RW 6",Chicago,IL,60610,877-324-4483
"University of Illinois at Chicago (UIC)","1801 West Taylor Street, Suite 4",,Chicago,IL,60612,312-996-9820
"The IVF Institute","2500 Ridge Avenue, Suite 200",,Evanston,IL,60201,847-869-7777
"Fertility Centers of Illinois - Highland Park","767 Park Avenue West","Suite 190","Highland Park",IL,60035,877-324-4483
"Partners in Reproductive Health","16345 S. Harlem Avenue","Suite 100","Tinley Park",IL,60477,708-532-7017
"The Fertility Center of Chattanooga","7407 Ziegler Road ",,Chattanooga,TN,37421,423-899-0500
"Hinsdale Center for Reproduction","121 North Elm Street",,Hinsdale,IL,60521,630-856-3535
"Advanced Fertility Center of Chicago — Gurnee","30 Tower Court","Suite F",Gurnee,IL,60031,"(847) 662-1818"
"Reproductive Specialty Center","2350 N. Lake Drive, Suite 504",,Milwaukee,WI,53211,414-289-9668
"Advanced Institute of Fertility","2801 West Kinnickinnic River Par",,Milwaukee,WI,53215,414-645-5437
"Reproductive Medicine Institute","2425 West 22nd St, Suite102",,"Oak Brook",IL,60523,630-954-0054
"Midwest Fertility Center","4333 Main Street",,"Downers Grove",IL,60515,800-244-0212
"Reproductive Biology Associates ","1100 Johnson Ferry Road ","Suite 200, Building 2",Atlanta,GA,30342,404-257-1900
"Georgia Reproductive Specialists","5445 Meridian Mark Road","Suite 270",Atlanta,GA,30342,404-843-2229
"Aurora Fertility Services-West Allis Memorial Hospital","8901 West Lincoln Avenue, 2nd Fl",,"West Allis",WI,53227,414-329-4300
"Atlanta Center for Reproductive Medicine","1800 Howell Mill Road","Suite 675",Atlanta,GA,30318,404-435-0797
"Reena Jabamoni MDSC","1585 N Barrington Road, Suite 40",,"Hoffman Estates",IL,60194,630-843-7090
"Froedtert Medical College Reproductive Medicine Clinic","9200 West Wisconsin Avenue, PB 5",,Milwaukee,WI,53226,414-805-7376
"Reproductive Health Specialists","744 Essington Road",,Joliet,IL,60435,815-730-1100
"The Fertility Institute at Edward","120 Osler Drive",,Naperville,IL,60540,630-428-2229
IVF1,"636 Raymond Drive, Suite 303",,Naperville,IL,60563,630-357-6540
"Emory Healthcare","550 Peachtree Street","Suite 1800",Atlanta,GA,30308,404-778-3401
"Rush-Copley Center for Reproductive Health","2020 Ogden Avenue, Suite250",,Aurora,IL,60504,630-978-6254
"Women's Health Care, S C","721 American Avenue, Suite304",,Waukesha,WI,53188,262-549-2229
"The Women's Center at Aurora BayCare Medical Center","Reproductive Endocrinology and F","2845 Greenbrier Road, Suite 350","Green Bay",WI,54308,920-288-8500
"Advanced Fertility Group","1222 Professional Boulevard",,Evansville,IN,47714,812-469-4920
"Central Georgia Fertility Institute","4035 Elnora Drive",,Macon,GA,31210,478-757-7888
"Nashville Fertility Center. P.C.","345 23rd Avenue North, Suite 401",,Nashville,TN,37203,615-321-4740
"The Center for Reproductive Health","2410 Patterson Street","Suite 401",Nashville,TN,37203,
"Reproductive Health and Fertility Center","973 Featherstone Road, Suite 100",,Rockford,IL,61107,815-986-3737
"Generations Fertility Care","2365 Deming Way",,Middleton,WI,53562,
"Wisconsin Fertility Institute","3146 Deming Way",,Middleton,WI,53562,
"Jacksonville Center for Reproductive Medicine","7051 Southpoint Parkway, Suite 2",,Jacksonville,FL,32216,904-493-2229
"Assisted Fertility Program of North Florida","3627 University Boulevard South,",,Jacksonville,FL,32216,904-398-1473
"Florida Institute for Reproductive Medicine","836 Prudential Drive, Suite 902",,Jacksonville,FL,32207,904-399-5620
"Reproductive Endocrinology Associates","340 W. Miller St.",,Springfield,IL,62702,217-523-4700
"Alabama Fertility Specialists","2700 Highway 280, Suite 370 East",,Birmingham,AL,35223,205-874-0000
"University of Alabama at Birmingham","Division of REI, 343 Old Hillman","618 20th Street South",Birmingham,AL,35249,205-934-5708
"ART Fertility Program of Alabama","Women's Medical Plaza","2006 Brookwood Med Center Dr., S",Birmingham,AL,35209,205-870-0698
"University of Florida Reproductive Medicine","4037 NW 86th Terrace",,Gainesville,FL,32606,352-265-6200
"Washington University of St. Louis","4444 Forest Park Avenue","Suite 3100","St. Louis",MO,63108,314-286-2400
"Infertility & IVF Center","3009 N Ballas Road, Suite359C",,"Saint Louis",MO,63131,636-225-5483
"The Fertility Center at Missouri Baptist Medical Center","3009 North Ballas Road, Suite 25",,"Saint Louis",MO,63131,314-996-7900
"Infertility Center of St. Louis at St Luke's","224 S. Woods Mill Road, Suite730",,"Saint Louis",MO,63017,314-576-1400
"Center for Reproductive Medicine PA","3435 Pinehurst Avenue",,Orlando,FL,32804,407-740-0909
"UI Center for Advanced Reproductive Care","200 Hawkins Drive","Department of Ob/Gyn","Iowa City",IA,52242,319-356-8483
"Fertility and Reproductive Medicine Center for Women","95 Bulldog Boulevard, Suite 204",,Melbourne,FL,32901,321-724-4410
"The Reproductive Medicine Group","5245 East Fletcher Avenue",,Tampa,FL,33617,"877-266-2450 "
"University of South Florida IVF","2 Tampa General Circle",,Tampa,FL,33606,813-259-0962
"Center for Reproductive Medicine and Fertility","500 Keene Street, Suite 203",,Columbia,MO,65201,573-817-3101
"Mid-Missouri Reproductive Medicine and Surgery","1502 East Broadway, Suite 106",,Columbia,MO,65201,573-443-4511
"Reproductive Health Associates, P.A.","2919 Swann Avenue",,Tampa,FL,33609,727-572-5300
"Reproductive Medicine & Infertility Associates","Woodbury Medical Arts Building","2101 Woodwinds Drive",Woodbury,MN,55125,651-222-6050
"Mayo Clinic-Assisted Reproductive Technologies","200 First Street SW","Charlton 3A",Rochester,MN,55057,507-284-4520
"Advanced Reproductive Care Center","10301 Hagen Ranch Road",,"Boynton Beach",FL,33437,561-736-6006
"University of Minnesota Physicians","Reproductive Medicine Center","606 24th Ave S, Suite 500",Minneapolis,MN,55454,612-627-4564
"Center for Reproductive Medicine","2828 Chicago Avenue","Suite 400",Minneapolis,MN,55407,612-863-5390
"Palm Beach Fertility Center","9291 Glades Road, Suite 202",,"Boca Raton",FL,33434,561-477-7728
"New Leaders in Fertility & Endocrinology, LLC","4400 Bayou Boulevard, Suite 36",,Pensacola,FL,32504,850-857-3733
"Boca Fertility","875 Meadows Road, Suite334",,"Boca Raton",FL,33486,561-368-5500
"Midwest Center for Reproductive Health","Arbor Lakes Medical Building","12000 Elm Creek Boulevard North,","Maple Grove",MN,55369,763-494-7700
"Fertility Center and Applied Genetics of Florida, Inc","6050 Cattlebridge Blvd.","Suite 103",Sarasota,FL,34232,941-342-1568
"IVF Florida","2960 North SR 7, Suite 300",,Margate,FL,33063,954-247-6200
"Mid-Iowa Fertility","1371 NW 121st Street",,Clive,IA,50325,515-222-3060
"Fertility & Genetics","201 North Pine Island Road",,Plantation,FL,33324,954-584-2273
"Florida Institute for Reproductive Sciences and Technologies","Weston Regional Healthpark","2300 North Commerce Parkway, Sui",Weston,FL,33326,954-217-3456
"University of South Alabama","Department of Ob/Gyn/Gyn","1610 Center Street, Suite C",Mobile,AL,36604,251-415-8602
"Center for Reproductive Medicine","3 Mobile Infirmary Cr, Suite 213",,Mobile,AL,36607,251-438-4200
"Specialists in Reproductive Medicine","12611 World Plaza Lane, Bldg. 53",,"Fort Myers",FL,33907,239-275-8118
"Southwest Florida Fertility Center, P.A.","15730 New Hampshire Ct","Suite 101","Fort Myers",FL,33908,239-561-3430
"UHealth Fertility Center, University of Miami","1400 N W 12th Avenue","Suite 5",Miami,FL,33136,305-325-5757
"IVFMD/ South Florida Institute for Reproductive Medicine","7300 SW 62nd Place","4th Floor",Miami,FL,33143,866-483-6366
"Fertility & IVF Center of Miami","8950 N. Kendall Drive","Suite 103",Miami,FL,33176,"(305) 596-4013"
"University of Mississippi Med Center","IVF Program; Department. of Ob/G","2500 North State Street","Jackson ",MS,39216,601-984-5330
"Arkansas Fertility Center","9101 Kanis Road, Suite 300",,"Little Rock",AR,72205,501-801-1200
"Midwest Women's Healthcare","6400 Prospect, Suite 598",,"Kansas City",MO,64132,816-444-6888
"Women's Reproductive Center","University of Kansas Medical Cen","3901 Rainbow Boulevard, MS 2028","Kansas City",KS,66160,913-588-3234
"Reproductive Medicine and Infertility","Shawnee Mission Medical Center","8800 West 75th Street, Suite 101","Shawnee Mission",KS,66204,913-432-71161
"Reproductive Resource Center","12200 W. 106th Street","Suite 120","Overland Park",KS,66215,913-894-2323
"Midwest Reproductive Center, PA","20375 West 151st Street","Suite 403",Olathe,KS,66061,913-780-4300
"The Fertility Institute of New Orleans","800 N. Causeway Blvd",2C,Mandeville,LA,70448,"(985) 892-7621"
"Nebraska Methodist Hospital","Reproductive Endocrinology & Inf","8111 Dodge Street, Suite237",Omaha,NE,68114,402-354-5210
"Heartland Center for Reproductive Medicine, P.C.","7308 South 142nd Street",,Omaha,NE,68138,402-717-4200
"Audubon Fertility & Reproductive Medicine","4321 Magnolia Street",,"New Orleans",LA,70115,504-891-1390
"Sanford Health Fertility and Reproductive Medicine","1500 West 22nd Street","Suite 102","Sioux Falls",SD,57105,"(605) 328-8800"
"A Woman's Center for Reproductive Medicine","Rue de la Vie","Suite 510","Baton Rouge",LA,70817,225-926-6886
"Reproductive Medicine Institute-MeritCare Health Systems","1111 Harwood Drive South",,Fargo,ND,58104,701-234-2700
"Tulsa Fertility Center","115 East 15th Street",,Tulsa,OK,74119,918-584.2870
"ArkLaTex Fertility Center","2401 Greenwood Rd. Ste A",,Shreveport,LA,71103,
"Fertility and Women's Health Center of Louisiana","206 E Farrel Rd, Suite 206",,Lafayette,LA,70508,337-989-8795
"Center for Reproductive Medicine","9300 East 29th Street North, Sui",,Wichita,KS,67226,316-687-2112
"Center for Reproductive Health","1000 N. Lincoln Boulevard, Suite",,"Oklahoma City",OK,73104,405-271-9200
"INTEGRIS Bennett Fertility Institute","3433 NW 56th Street, Suite 200B",,"Oklahoma City",OK,73112,"(405) 949-6060"
"Texas Presbyterian - ARTS","6130 West Parker Road","Suite 215",Plano,TX,75093,972-981-7800
"Dallas IVF","6124 West Parker Road, Suite 334",,Plano,TX,75093,972-981-8700
"Fertility Specialists of Texas-Dallas","8230 Walnut Hill Lane, Suite 512",,Dallas,TX,75231,214-750-5500
"Dallas-Fort Worth Fertility Associates","5477 Glen Lakes Drive",,Dallas,TX,75231,214-363-5965
"Reproductive Medicine Associates","4325 N Josey Lane, Suite 111",,Carrollton,TX,75010,972-394-3699
