"Clinic Name",Address,"Address 2",City,State,Zip,Phone
"Fertility Centers of Illinois - Lindenhurst","Emerald Square","2592 W. Grand Ave Ste 208",Lindenhurst,IL,60046,877-324-4483
"Fertility Centers of Illinois - Warrenville","28373 Davis Pkwy Ste 502",,Warrenville,IL,60555,630/305-7576
"Fertility Centers of Illinois - Oakbrook Terrace","1S224 Summit Ave Ste 302",,"Oakbrook Terrace",IL,60181,"6308897900 "
"Fertility Centers of Illinois - Tinley Park","18210 South La Grange Road","Suite 111","Tinley Park",IL,60487,708/633-1999
"Reproductive Medicine Associates of New York- Westchester","15 North Broadway","Garden Level, Suite G","White Plains",NY,10601,914-997-6200
"Reproductive Medicine Associates of New York- Garden City, Long Island","400 Garden City Plaza","Suite 107","Garden City",NY,11530,516-746-3633
"Piedmont Reproductive Endocrinology Group ","1330 Boiling Springs Road","Suite 2200",Spartanburg,SC,29303,864-583-2669
"Piedmont Reproductive Endocrinology Group ","123 Hendersonville Rd","Building 3 Lower Level",Asheville,NC,28803,828-210-8284
"Houston Fertility Specialists","4724 Sweetwater Boulevard","Suite 105 ","Sugar Land",TX,77479,713-512-7900
"Houston Fertility Specialists","251 Medical Center Boulevard",,Webster,TX,77598,"713-578-3880 "
"Houston Fertility Specialists","23920 Katy Freeway","Medical Plaza One",Katy,TX,77494,713-512-7900
"IVF New Jersey","495 Iron Bridge Road","Suite 10 (2nd Floor)",Freehold,NJ,7728,732-577-6500
"IVF New Jersey","3379 Quakerbridge Road","Suite 105","Hamilton Township",NJ,8619,609-799-5666
"IVF New Jersey","112 W. 34th Street",,"New York",NY,10120,800-483-6544
"IVF New Jersey","636 Morris Turnpike","Suite 2D","Short Hills ",NJ,7078,973-258-4081
"Bluegrass Fertility Center","2801 Palumbo Drive","Suite 101",Lexington,KY,40509,
"Institute for Human Reproduction (IHR)","409 W. Huron St. Suite 500",,Chicago,IL,60654,"312-288-6420 "
"IVFMD/South Florida Institute for Reproductive Medicine","1 SW 129th Avenue","Suite 205A","Pembroke Pines",FL,33027,866-483-6366
"IVFMD/South Florida Institute for Reproductive Medicine","1280 Creekside Street","Suite 105",Naples,FL,34108,866-483-6366
"IVFMD/South Florida Institute for Reproductive Medicine","345 Jupiter Lakes Blvd.","Suite 102",Jupiter,FL,33458,"561-972-6900 "
"Greenwich Fertility & IVF Center","55 Holly Hill Lane Suite 270",,Greenwich,CT,6830,"(203) 863-2990"
"North Shore Fertility","999 Plaza Drive, Suite 630",,Schaumburg,IL,60076,
"Fertility Centers of New England, LLC - The Boston Center","575 Boylston Street","Elevator one (left side), FL 4W",Boston,MA,2116,
"Fertility Centers of New England, LLC - The Concord Center","248 Pleasant Street, Suite 103","Pillsbury Building",Concord,NH,3301,
"Fertility Centers of New England, LLC - Reading","20 Pond Meadow Drive","Suite 101",Reading,MA,1867,
"Reproductive Medicine Associates of Connecticut","1290 Summer Street","Suite 3200",Stamford,CT,6905,877-411-0142
"Reproductive Medicine Associates of Connecticut","67 Sand Pit Road","Suite 300",Danbury,CT,6810,877-411-0142
"Reproductive Fertility Center","16300 Sand Canyon Avenue","Suite 901",Irvine,CA,92618,949-453-8600
"Albrecht Women's Care ","9800 Pyramid Court ","Suite 310",Englewood,CO,80112,720-420-1570
"IRMS at Saint Barnabas","94 Old Short Hills Road","Suite 403, East Wing",Livingston,NJ,7039,973-322-8286
"IRMS at Saint Barnabas","609 Washington Street","2nd Floor",Hoboken,NJ,7040,201-963-7640
"IRMS at Saint Barnabas","100 Walnut Avenue","Suite 104",Clark,NJ,7066,732-943-7169
"Kofinas Fertility Institute - Staten Island","4855 Hylan Boulevard",,"Staten Island",NY,10312,718-356-4000
"RMA at Jefferson","735 Fitzwatertown Road","Suite 2","Willow Grove",PA,19090,855-RMA-PHIL
"Institute for Human Reproduction (IHR)","18 West 100 22nd Street","Suite 106","Oak Brook",IL,60181,630-916-8630
"The Fertility Institute of Hawaii","Hale Pawa'a","1401 South Beretania St, Ste 250",Honolulu,HI,96814,
"Delaware Institute for Reproductive Medicine P.A.","556 South DuPont Boulevard","Suite H",Milford,DE,19963,302-424-6645
"Reproductive Medicine Associates of Connecticut","115 Technology Drive","Suite A203",Trumbull,CT,6611,203-880-5340
"Reproductive Medicine Associates of Connecticut","600 Westage Business Center Dr.",,Fishkill,NY,12524,8457908963
"Main Line Fertility & Reproductive Medicine","11 Industrial Blvd","Suite 100",Paoli,PA,19301,610-993-8200
"Main Line Fertility & Reproductive Medicine","915 Old Fern Hill Road","Suite 101, Bldg B","West Chester",PA,19380,610-840-1500
"IRMS at Saint Barnabas","560 Springfield Ave","Suite 102",Westfield,NJ,7090,973-322-8286
"RMA at Jefferson","833 Chestnut Street","Suite C 152 Upper Concourse ",Philadelphia,PA,19107,
"RMA at Jefferson","625 Clark Avenue","Suite 17B?","King of Prussia",PA,19406,
"RMA at Jefferson","320 Middletown Boulevard","Suite 303",Langhorne,PA,19047,267.852.0780
"IVF Phoenix","9817 N 95th Street","Bldg. I, Suite 105",Scottsdale,AZ,85258,
"IVFMD/ South Florida Institute for Reproductive Medicine- Kendall","15955 SW 96 Street","Suite 305",Miami,FL,33196,"877-934-1734 "
"IVFMD/South Florida Institute for Reproductive Medicine","9960 Central Park Blvd","Suite 275","Boca Raton",FL,33428,"877 934-1735"
"Neway Fertility","115 East 57th Street","Suite 500","New York",NY,10022,"212-750-3330 ext. 170"
"RMA of Central Pennsylvania at PinnacleHealth","2025 Technology Parkway","Suite 211",Mechanicsburg,PA,17050,
"Reproductive Medicine Associates of New York- Brooklyn","26 Court Street","Suite 2710",Brooklyn,NY,11242," (718) 532-8700"
"Reproductive Medicine Associates of New York- Cornwall","21 Laurel Avenue ",,Cornwall,NY,12518,"(914) 997-6200"
"University Hospitals Fertility Center- Cleveland","11100 Euclid Avenue",,Cleveland,OH,44106,216-844-3911
"University Hospitals Fertility Center-Westlake","2055 Crocker Rd","Suite 206",Westlake,OH,44145,440-808-5100
"Bellingham IVF and Fertility Care","2980 Squalicum Parkway","Suite 103",Bellingham,WA,98225,"(360) 715-8124"
"Arizona Reproductive Institute","1775 East Skyline Drive","Suite 175",Tucson,AZ,85718,
"IRMS at Saint Barnabas","375 US Highway 130","Suite 104","East Windsor",NJ,8520,"(609) 448-4300"
"Life IVF Center","3500 Barranca Pkwy",#300,Irvine,CA,92606,949-788-1133
"The Fertility Center of Chattanooga- Knoxville","10413 Kingston Pike, Ste. 201",,Knoxville,TN,37922,865-692-3433
"Care Fertility","1500 E. Chevy Chase Drive","Suite #450",Glendale,CA,91206,
"Genesis Fertility & Reproductive Medicine","808 8th Avenue",,Brooklyn,NY,11215,718-283-8600
"Genesis Fertility & Reproductive Medicine","447 Atlantic Ave, 2nd Fl",,Brooklyn,NY,11217,718-283-8600
"Genesis Fertility & Reproductive Medicine-Staten Island","1855 Richmond Avenue",,"Staten Island",NY,10314,718-283-8600
"Genesis Fertility & Reproductive Medicine-Hewlett","1175 West Broadway, Ste 24",,Hewlett,NY,11557,516-216-4220
"North Shore Fertility","4250 Dempster Street",,Skokie,IL,60076,
"Georgia Reproductive Specialists","3400-C Old Milton Parkway","Suite 475",Alpharetta,GA,30005,
"Georgia Reproductive Specialists","2685 Milscott Drive	",,Decatur,GA,30033,
"Reproductive Medicine Associates of New York-Downtown","594 Broadway, Suite 1011",,"New York",NY,10012,
"IVFMD/ South Florida Institute for Reproductive Medicine","9900 Stirling Road #300",,"Cooper City","FL ",33024,
"Fertility Centers of New England, LLC - The Nashua Center","166 Kinsley Street","Suite 204",Nashua,NH,3060,
"Fertility Centers of New England, LLC- The Bangor, ME Center","700 Mt Hope Avenue, Suite 480",,Bangor,"ME ",4401,
"The Fertility Institute of Hawaii","Medical Arts Building","407 Uluniu Street, Suite 312",Kailua,HI,96734,
"The Advanced Fertility Center of Texas","11302 Fallbrook Drive","Suite #110",Houston,TX,77065,
"The Advanced Fertility Center of Texas","7700 S. Main St., Suite 310",,Houston,TX,77030,
"The Advanced Fertility Center of Texas","17198 St. Luke’s Way","Suite #410","The Woodlands",TX,77384,
"The Advanced Fertility Center of Texas","1602 Rock Prairie Rd","Suite #400","College Station",TX,77845,
"Assisted Fertility Program of North Florida","2965 Colonnade Dr Suite 140",,Roanoke,VA,24018,
"IRMS at Saint Barnabas","377 Jersey Ave #20",,"Jersey City",NJ,7302,
"Center for Assisted Reproduction","1250 8th Ave","Ste 365","Fort Worth",TX,76104,
"Center for Assisted Reproduction","10840 Texas Health Trail","Ste 210","Fort Worth",TX,76244,
"Island Reproductive Services","3000 Hadley Road Suite 2C",,"South Plainfield",NJ,7080,
"Chelsea Fertility of New York City","105 East 37th Street ","Suite 1","New York",NY,10016,
"Greenwich Fertility & IVF Center","115 Main Street, Suite 300",,Tuckahoe,NY,10707,
"Institute for Human Reproduction (IHR)","7456 South State Road, Suite 302",,"Bedford Park",IL,60638,
"Care Fertility","10837 Laurel Street","Suite #202","Rancho Cucamonga",CA,91730,
"Morgan Fertility at Shore Institute for Reproductive Medicine - Shore IVF","300 Perrine Road","Suite 301","Old Bridge Township",NJ,8857,
"Morgan Fertility at Shore Institute for Reproductive Medicine - Shore IVF","76 West Jimmie Leeds Road",,Galloway,NJ,8205,
"Morgan Fertility at Shore Institute for Reproductive Medicine - Shore IVF","802 West Park Avenue",,"Ocean Township",NJ,7712,
"Piedmont Reproductive Endocrinology Group ","3 Medical Park Drive","Suite 350",Columbia,SC,29203,864-232-7734
"Beverly Hills Reproductive Fertility Center","9201 W. Hollywood Blvd, Ste 500",,"Los Angeles",CA,90069,
"Reproductive Medicine Associates of New York- Westside","200 West 57th Street",,NY,NY,10019,
"Reproductive Medicine Associates of New York, LLP - Westchester – Mount Kisco","83 South Bedford Road",,"Mount Kisco","New York",10549,
